Titel;Duration;Band;Album;Genre;Year;Comment
Der Raecher;05:00;Bifroest;Heidenmetal;Pagan Metal;2010;Mr. Metal
Die Wilde Jagd;03:44;Bifroest;Heidenmetal;Pagan Metal;2010;Mr. Metal +
Fest Der Trolle;04:53;Bifroest;Heidenmetal;Pagan Metal;2010;Mr. Metal +
Heimgang;06:15;Bifroest;Heidenmetal;Pagan Metal;2010;Mr. Metal
Herr Des Waldes;04:17;Bifroest;Heidenmetal;Pagan Metal;2010;Mr. Metal
Normannenzorn;03:53;Bifroest;Heidenmetal;Pagan Metal;2010;Mr. Metal +
Odins Soehne;03:58;Bifroest;Heidenmetal;Pagan Metal;2010;Mr. Metal
Ragnaroek;04:49;Bifroest;Heidenmetal;Pagan Metal;2010;Mr. Metal +
Schlachtklaenge;04:17;Bifroest;Heidenmetal;Pagan Metal;2010;Mr. Metal +
Weingeist;03:33;Bifroest;Heidenmetal;Pagan Metal;2010;Mr. Metal
Come On Home ;04:19;Big M;Scrubs 8;Soundtrack;2009;Mr. Metal
White Wedding;08:27;Billy Idol;Masterpieces of Rock 'n' Roll History;VA;2015;Mr. Metal
Red Flag;03:17;Billy Talent;Billy Talent II;Alternative Rock;2006;Mr. Metal +
Devil On My Shoulder;03:50;Billy Talent;Billy Talent III;Alternative Rock;2009;Mr. Metal
Tears Into Wine;04:13;Billy Talent;Billy Talent III;Alternative Rock;2009;Mr. Metal +
Come On Down;03:40;Black Bomb A;Enemies of the State;Metalcore;2012;Mr. Metal
Fear;03:32;Black Bomb A;Enemies of the State;Metalcore;2012;Mr. Metal
Take Control;04:08;Black Bomb A;Enemies of the State;Metalcore;2012;Mr. Metal +
Beds Are Burning;04:10;Black Bomb A;One Sound Bite To React;Metalcore;2006;Mr. Metal +
In This River;03:56;Black Label Society;Skullage;Heavy Metal;2009;Mr. Metal +
Parade Of The Dead;03:37;Black Label Society;Unleash the Fury;Heavy Metal;2015;Mr. Metal
Soeldnerschwein;04:37;Black Messiah;First War Of The World;Pagan Metal;2009;Mr. Metal +
Moskau;04:46;Black Messiah;Of Myths And Legends;Pagan Metal;2006;Mr. Metal +
Sauflied;04:14;Black Messiah;Of Myths And Legends;Pagan Metal;2006;Mr. Metal +
Children Of The Grave;05:17;Black Sabbath;Bruetal Legend;Soundtrack;2010;Mr. Metal +
Never Say Die;03:50;Black Sabbath;Bruetal Legend;Soundtrack;2010;Mr. Metal +
Symptom Of The Universe;06:30;Black Sabbath;Bruetal Legend;Soundtrack;2010;Mr. Metal
Iron Man;05:55;Black Sabbath;Masterpieces of Rock 'n' Roll History;VA;2015;Mr. Metal
War Pigs;07:54;Black Sabbath;Masterpieces of Rock 'n' Roll History;VA;2015;Mr. Metal
Killing Yourself to Live;05:43;Black Sabbath;Old School Heavy Metal;Heavy Metal;2015;Mr. Metal
Sabbath Bloody Sabbath;05:47;Black Sabbath;Old School Heavy Metal;Heavy Metal;2015;Mr. Metal +
Symptom of the Universe;06:28;Black Sabbath;Old School Heavy Metal;Heavy Metal;2015;Mr. Metal
Electric Funeral;04:46;Black Sabbath;Paranoid;Heavy Metal;1970;Mr. Metal
Faires Wear Boots / Jack The Stripper;06:09;Black Sabbath;Paranoid;Heavy Metal;1970;Mr. Metal
Hand Of Doom;07:06;Black Sabbath;Paranoid;Heavy Metal;1970;Mr. Metal
Iron Man;06:25;Black Sabbath;Paranoid;Heavy Metal;1970;Mr. Metal +
Luke's Wall / War Pigs;07:54;Black Sabbath;Paranoid;Heavy Metal;1970;Mr. Metal
Paranoid;02:47;Black Sabbath;Paranoid;Heavy Metal;1970;Mr. Metal +
Planet Caravan;04:22;Black Sabbath;Paranoid;Heavy Metal;1970;Mr. Metal
Rat Salad;02:28;Black Sabbath;Paranoid;Heavy Metal;1970;Mr. Metal
Are You Ready For Some Real German aerger?!;02:51;Blackshore;(Railway To) Blackshore;Black Metal;2008;Mr. Metal +
Hollow Bodies;03:01;blessthefall;Post-Hardcore Crash Course;Post-Hardcore;2015;Mr. Metal
And The Story Ends;06:00;Blind Guardian;Imaginations From The Other Side;Power Metal;1995;Mr. Metal
Another Holy War;04:32;Blind Guardian;Imaginations From The Other Side;Power Metal;1995;Mr. Metal
Born In A Mourning Hall;05:14;Blind Guardian;Imaginations From The Other Side;Power Metal;1995;Mr. Metal
A Past And Future Secret;03:48;Blind Guardian;Imaginations From The Other Side;Power Metal;1995;Mr. Metal
Battle Of Sudden Flames;00:44;Blind Guardian;Nightfall In Middle Earth;Power Metal;1998;Mr. Metal
Blood Tears;05:25;Blind Guardian;Nightfall In Middle Earth;Power Metal;1998;Mr. Metal
Captured;00:26;Blind Guardian;Nightfall In Middle Earth;Power Metal;1998;Mr. Metal
The Curse Of Feanor;05:41;Blind Guardian;Nightfall In Middle Earth;Power Metal;1998;Mr. Metal
The Dark Elf;00:24;Blind Guardian;Nightfall In Middle Earth;Power Metal;1998;Mr. Metal
A Dark Passage;06:01;Blind Guardian;Nightfall In Middle Earth;Power Metal;1998;Mr. Metal
The Eldar;03:39;Blind Guardian;Nightfall In Middle Earth;Power Metal;1998;Mr. Metal
Face The Truth;00:24;Blind Guardian;Nightfall In Middle Earth;Power Metal;1998;Mr. Metal
Final Chapter: Thus Ends....;00:48;Blind Guardian;Nightfall In Middle Earth;Power Metal;1998;Mr. Metal
Into The Storm;04:24;Blind Guardian;Nightfall In Middle Earth;Power Metal;1998;Mr. Metal
Lammoth;00:29;Blind Guardian;Nightfall In Middle Earth;Power Metal;1998;Mr. Metal
The Minstrel;00:32;Blind Guardian;Nightfall In Middle Earth;Power Metal;1998;Mr. Metal
Mirror, Mirror;05:06;Blind Guardian;Nightfall In Middle Earth;Power Metal;1998;Mr. Metal +
Nightfall;05:35;Blind Guardian;Nightfall In Middle Earth;Power Metal;1998;Mr. Metal +
Noldor;06:51;Blind Guardian;Nightfall In Middle Earth;Power Metal;1998;Mr. Metal +
Nom The Wise;00:33;Blind Guardian;Nightfall In Middle Earth;Power Metal;1998;Mr. Metal
Out On The Water;00:45;Blind Guardian;Nightfall In Middle Earth;Power Metal;1998;Mr. Metal
The Steadfast;00:22;Blind Guardian;Nightfall In Middle Earth;Power Metal;1998;Mr. Metal
Thorn;06:20;Blind Guardian;Nightfall In Middle Earth;Power Metal;1998;Mr. Metal
Time Stands Still;04:54;Blind Guardian;Nightfall In Middle Earth;Power Metal;1998;Mr. Metal +
War Of Wrath;01:50;Blind Guardian;Nightfall In Middle Earth;Power Metal;1998;Mr. Metal
When Sorrow Sang;04:25;Blind Guardian;Nightfall In Middle Earth;Power Metal;1998;Mr. Metal
The Bard's Song - In The Forest;03:10;Blind Guardian;Somewhere Far Beyond;Power Metal;1992;Mr. Metal +
Another Stranger Me;04:37;Blind Guardian;A Twist In The Myth;Power Metal;2006;Mr. Metal
Carry The Blessed Home;04:05;Blind Guardian;A Twist In The Myth;Power Metal;2006;Mr. Metal
Dead Sound Of Misery;05:18;Blind Guardian;A Twist In The Myth;Power Metal;2006;Mr. Metal
The Edge;04:29;Blind Guardian;A Twist In The Myth;Power Metal;2006;Mr. Metal
Fly;05:46;Blind Guardian;A Twist In The Myth;Power Metal;2006;Mr. Metal
Lionheart;04:17;Blind Guardian;A Twist In The Myth;Power Metal;2006;Mr. Metal
The New Order;04:54;Blind Guardian;A Twist In The Myth;Power Metal;2006;Mr. Metal
Otherland;05:16;Blind Guardian;A Twist In The Myth;Power Metal;2006;Mr. Metal +
Skalds And Shadows;03:14;Blind Guardian;A Twist In The Myth;Power Metal;2006;Mr. Metal +
Straight Through The Mirror;05:50;Blind Guardian;A Twist In The Myth;Power Metal;2006;Mr. Metal +
This Will Never End;05:07;Blind Guardian;A Twist In The Myth;Power Metal;2006;Mr. Metal
Turn The Page;04:19;Blind Guardian;A Twist In The Myth;Power Metal;2006;Mr. Metal +
Maria;04:51;Blondie;No Exit;New Wave;2001;Mr. Metal +
I Saw A Chapel;04:29;Bloodline;Werewolf Training;Black Metal;2003;Mr. Metal
Inhale Thorns;07:46;Bloodline;Werewolf Training;Black Metal;2003;Mr. Metal
New Sodom;05:06;Bloodline;Werewolf Training;Black Metal;2003;Mr. Metal
Retaliation;04:00;Bloodline;Werewolf Training;Black Metal;2003;Mr. Metal +
Season Of The Predator;06:16;Bloodline;Werewolf Training;Black Metal;2003;Mr. Metal
Werewolf Training;08:56;Bloodline;Werewolf Training;Black Metal;2003;Mr. Metal
While The City Sleeps;05:31;Bloodline;Werewolf Training;Black Metal;2003;Mr. Metal
Abra Cadaver;03:21;Bloodsucking Zombies from outer Space;Decade Of Decay - The Gravest Hits Of BZFOS;Horror Punk;2012;Mr. Metal
Blood On Satan's Claw;04:17;Bloodsucking Zombies From Outer Space;Decade Of Decay - The Gravest Hits Of BZFOS;Horror Punk;2012;Mr. Metal +
Cannibal Holocaust;02:59;Bloodsucking Zombies From Outer Space;Decade Of Decay - The Gravest Hits Of BZFOS;Horror Punk;2012;Mr. Metal +
Dead Eyes;03:35;Bloodsucking Zombies from outer Space;Decade Of Decay - The Gravest Hits Of BZFOS;Horror Punk;2012;Mr. Metal
A Decade of Decay;03:10;Bloodsucking Zombies from outer Space;Decade Of Decay - The Gravest Hits Of BZFOS;Horror Punk;2012;Mr. Metal
A Deeper Shade of Red;03:43;Bloodsucking Zombies from outer Space;Decade Of Decay - The Gravest Hits Of BZFOS;Horror Punk;2012;Mr. Metal
Dr. Freudstein;03:58;Bloodsucking Zombies From Outer Space;Decade Of Decay - The Gravest Hits Of BZFOS;Horror Punk;2012;Mr. Metal +
Eaters of the Dead;02:13;Bloodsucking Zombies from outer Space;Decade Of Decay - The Gravest Hits Of BZFOS;Horror Punk;2012;Mr. Metal +
Eaters of the Dead;02:13;Bloodsucking Zombies from outer Space;Decade of Decay - The Gravest Hits of BZFOS;Horror Punk;2012;Mr. Metal
I Wanna Hear You Scream;03:21;Bloodsucking Zombies from outer Space;Decade Of Decay - The Gravest Hits Of BZFOS;Horror Punk;2012;Mr. Metal +
I Wanna Hear You Scream;03:21;Bloodsucking Zombies from outer Space;Decade Of Decay - The Gravest Hits Of BZFOS;Horror Punk;2012;Mr. Metal
Mondo Video;03:13;Bloodsucking Zombies from outer Space;Decade Of Decay - The Gravest Hits Of BZFOS;Horror Punk;2012;Mr. Metal
Monster Mutant Boogie;03:48;Bloodsucking Zombies From Outer Space;Decade Of Decay - The Gravest Hits Of BZFOS;Horror Punk;2012;Mr. Metal +
Moonlight Sonata;02:51;Bloodsucking Zombies From Outer Space;Decade Of Decay - The Gravest Hits Of BZFOS;Horror Punk;2012;Mr. Metal +
Moerder Blues (live) - live;05:11;Bloodsucking Zombies from outer Space;Decade of Decay - The Gravest Hits of BZFOS;Horror Punk;2012;Mr. Metal
Plainfield Love;02:58;Bloodsucking Zombies from outer Space;Decade of Decay - The Gravest Hits of BZFOS;Horror Punk;2012;Mr. Metal
Reign of Devils;03:12;Bloodsucking Zombies from outer Space;Decade of Decay - The Gravest Hits of BZFOS;Horror Punk;2012;Mr. Metal
Teenage Universal Creature;02:50;Bloodsucking Zombies from outer Space;Decade of Decay - The Gravest Hits of BZFOS;Horror Punk;2012;Mr. Metal
Countess Dracula;03:50;Bloodsucking Zombies from outer Space;Return of the Bloodsucking Zombies From Outer Space;Horror Punk;2010;Mr. Metal +
Horrormovie Addict;03:06;Bloodsucking Zombies From Outer Space;Return Of The Bloodsucking Zombies From Outer Space;Horror Punk;2010;Mr. Metal +
I Wanna Hear You Scream;03:15;Bloodsucking Zombies From Outer Space;Return Of The Bloodsucking Zombies From Outer Space;Horror Punk;2010;Mr. Metal +
Outro;01:09;Bloodsucking Zombies from outer Space;Return of the Bloodsucking Zombies From Outer Space;Horror Punk;2010;Mr. Metal
(Don't Fear) The Reaper;05:09;Blue oeyster Cult;The Essential Blue oeyster Cult;Hard Rock;2003;Mr. Metal +
(Don't Fear) The Reaper;05:10;Blue oeyster Cult;Scrubs 8;Soundtrack;2009;Mr. Metal
The Times They Are A Changin';03:14;Bob Dylan;Bob Dylan's Greastest Hits;Rock;1967;Mr. Metal +
Knockin' on Heaven's Door - Remastered;02:31;Bob Dylan;Masterpieces of Rock 'n' Roll History;VA;2015;Mr. Metal
Boots of Spanish Leather;04:38;Bob Dylan;The Times They Are A-Changin';Rock;1964;Mr. Metal +
A.D.I.O.Z.;05:12;Boehse Onkelz;Adios;Deutschrock;2004;Mr. Metal
Einmal;04:20;Boehse Onkelz;Adios;Deutschrock;2004;Mr. Metal
Bruno Baumann;01:46;Boehse Onkelz;Beruehmt Und Beruechtigt;Deutschrock;1996;Mr. Metal
Hippies;01:40;Boehse Onkelz;Beruehmt Und Beruechtigt;Deutschrock;1996;Mr. Metal +
Hass;03:17;Boehse Onkelz;Boese Menschen - Boese Lieder;Deutschrock;1985;Mr. Metal +
Danke Fuer Nichts;03:42;Boehse Onkelz;Danke Fuer Nichts;Deutschrock;1997;Mr. Metal +
Stolz;02:42;Boehse Onkelz;Danke Fuer Nichts;Deutschrock;1997;Mr. Metal
Boehse Onkelz;02:32;Boehse Onkelz;Der Nette Mann;Deutschrock;1984;Mr. Metal +
Deutschland;03:09;Boehse Onkelz;Der Nette Mann;Deutschrock;1984;Mr. Metal
Frankreich '84;02:37;Boehse Onkelz;Der Nette Mann;Deutschrock;1984;Mr. Metal
Freibier;03:25;Boehse Onkelz;Der Nette Mann;Deutschrock;1984;Mr. Metal
Freitag Nacht;02:21;Boehse Onkelz;Der Nette Mann;Deutschrock;1984;Mr. Metal
Fussball Und Gewalt;03:20;Boehse Onkelz;Der Nette Mann;Deutschrock;1984;Mr. Metal
Stolz;02:29;Boehse Onkelz;Der Nette Mann;Deutschrock;1984;Mr. Metal
Die Firma;04:19;Boehse Onkelz;Dopamin;Deutschrock;2002;Mr. Metal +
Ich Weiss Wo Du Wohnst;02:31;Boehse Onkelz;Dopamin;Deutschrock;2002;Mr. Metal +
Jetzt Oder Nie;04:01;Boehse Onkelz;Dopamin;Deutschrock;2002;Mr. Metal +
Keine Amnestie Fuer MTV;03:05;Boehse Onkelz;Dopamin;Deutschrock;2002;Mr. Metal
Narben;04:21;Boehse Onkelz;Dopamin;Deutschrock;2002;Mr. Metal +
Kirche;05:37;Boehse Onkelz;E.I.N.S.;Deutschrock;1996;Mr. Metal +
Auf Gute Freunde;05:18;Boehse Onkelz;E.I.N.S. (1996);Deutschrock;1996;Mr. Metal +
Je T'aime;03:45;Boehse Onkelz;Keine Amnestie Fuer MTV;Deutschrock;2002;Mr. Metal
Kneipenterroristen;03:46;Boehse Onkelz;Kneipenterroristen;Deutschrock;1988;Mr. Metal +
Lack Und Leder;04:13;Boehse Onkelz;Kneipenterroristen;Deutschrock;1988;Mr. Metal
So Sind Wir;03:45;Boehse Onkelz;Kneipenterroristen;Deutschrock;1988;Mr. Metal +
28;04:27;Boehse Onkelz;Kneipenterroristen;Deutschrock;1988;Mr. Metal
Das Tier In Mir;04:10;Boehse Onkelz;Mexico;Deutschrock;1985;Mr. Metal
Gesetze Der Strasse;04:02;Boehse Onkelz;Mexico;Deutschrock;1985;Mr. Metal
In Jedem Arm 'ne...;04:26;Boehse Onkelz;Mexico;Deutschrock;1985;Mr. Metal
Mexiko;04:14;Boehse Onkelz;Mexico;Deutschrock;1985;Mr. Metal +
Stoeckel & Strapse;03:08;Boehse Onkelz;Mexico;Deutschrock;1985;Mr. Metal
Stolz;02:42;Boehse Onkelz;Mexico;Deutschrock;1985;Mr. Metal +
Am Morgen Danach;03:56;Boehse Onkelz;Onkelz Wie Wir...;Deutschrock;2007;Mr. Metal +
Bomberpilot;03:11;Boehse Onkelz;Onkelz Wie Wir...;Deutschrock;2007;Mr. Metal +
Dick Und Durstig;02:15;Boehse Onkelz;Onkelz Wie Wir...;Deutschrock;2007;Mr. Metal
Erinnerungen;04:23;Boehse Onkelz;Onkelz Wie Wir...;Deutschrock;2007;Mr. Metal +
Falsche Propheten;03:59;Boehse Onkelz;Onkelz Wie Wir...;Deutschrock;2007;Mr. Metal
Heut Nacht;02:54;Boehse Onkelz;Onkelz Wie Wir...;Deutschrock;2007;Mr. Metal
Onkelz Wie Wir;04:13;Boehse Onkelz;Onkelz Wie Wir...;Deutschrock;2007;Mr. Metal
Schoener Tag;03:15;Boehse Onkelz;Onkelz Wie Wir...;Deutschrock;2007;Mr. Metal +
Von Glas Zu Glas;02:28;Boehse Onkelz;Onkelz Wie Wir...;Deutschrock;2007;Mr. Metal
!;01:48;Boehse Onkelz;Onkelz Wie Wir...;Deutschrock;2007;Mr. Metal
Bin Ich Nur Gluecklich Wenn Es Schmerzt;05:38;Boehse Onkelz;Viva Los Tioz;Deutschrock;1998;Mr. Metal +
Das Geheimnis Meiner Kraft;03:49;Boehse Onkelz;Viva Los Tioz;Deutschrock;1998;Mr. Metal
Der Platz Neben Mir;10:41;Boehse Onkelz;Viva Los Tioz;Deutschrock;1998;Mr. Metal +
Der Preis Des Lebens;07:04;Boehse Onkelz;Viva Los Tioz;Deutschrock;1998;Mr. Metal +
Leere Worte;04:23;Boehse Onkelz;Viva Los Tioz;Deutschrock;1998;Mr. Metal +
Matapalo - Parte Dos;03:02;Boehse Onkelz;Viva Los Tioz;Deutschrock;1998;Mr. Metal
Matapalo - Parte Uno;03:18;Boehse Onkelz;Viva Los Tioz;Deutschrock;1998;Mr. Metal
Ohne Mich;05:49;Boehse Onkelz;Viva Los Tioz;Deutschrock;1998;Mr. Metal +
Scheisse Passiert;04:27;Boehse Onkelz;Viva Los Tioz;Deutschrock;1998;Mr. Metal
Terpentin;03:57;Boehse Onkelz;Viva Los Tioz;Deutschrock;1998;Mr. Metal +
Viva Los Tioz;03:56;Boehse Onkelz;Viva Los Tioz;Deutschrock;1998;Mr. Metal +
Weit Weg;05:20;Boehse Onkelz;Viva Los Tioz;Deutschrock;1998;Mr. Metal
Wenn Du Wirklich Willst;05:45;Boehse Onkelz;Viva Los Tioz;Deutschrock;1998;Mr. Metal
Bed Of Roses;06:36;Bon Jovi;Masterpieces of Rock 'n' Roll History;VA;2015;Mr. Metal
Livin' On A Prayer;04:10;Bon Jovi;Slippery When Wet;Hard Rock;1986;Mr. Metal +
Aint life a Mother Fucker;02:33;The Bones;Burnout Boulevard;Punk 'n' Roll;2007;Mr. Metal
Black Day Boogie;03:18;The Bones;Burnout Boulevard;Punk 'n' Roll;2007;Mr. Metal
Dead Weight;02:14;The Bones;Burnout Boulevard;Punk 'n' Roll;2007;Mr. Metal
Destination X;01:41;The Bones;Burnout Boulevard;Punk 'n' Roll;2007;Mr. Metal
Fit in my Skin;02:35;The Bones;Burnout Boulevard;Punk 'n' Roll;2007;Mr. Metal
Flatline Fever;02:36;The Bones;Burnout Boulevard;Punk 'n' Roll;2007;Mr. Metal +
Fools Vacation;02:33;The Bones;Burnout Boulevard;Punk 'n' Roll;2007;Mr. Metal
Mighty Touchdown;03:53;The Bones;Burnout Boulevard;Punk 'n' Roll;2007;Mr. Metal
Not my Kind;01:42;The Bones;Burnout Boulevard;Punk 'n' Roll;2007;Mr. Metal
Not Predictable;03:30;The Bones;Burnout Boulevard;Punk 'n' Roll;2007;Mr. Metal
Sealed with a Fist;02:29;The Bones;Burnout Boulevard;Punk 'n' Roll;2007;Mr. Metal
She hates me (Yeah, yeah, yeah);01:49;The Bones;Burnout Boulevard;Punk 'n' Roll;2007;Mr. Metal
Straight flush Ghetto;02:08;The Bones;Burnout Boulevard;Punk 'n' Roll;2007;Mr. Metal
Stuck in the Mud;02:58;The Bones;Burnout Boulevard;Punk 'n' Roll;2007;Mr. Metal
Too many Miles;03:26;The Bones;Burnout Boulevard;Punk 'n' Roll;2007;Mr. Metal
Total Eclipse of the Heart;04:30;Bonnie Tyler;The Very Best Of Bonnie Tyler;Rock;1999;Mr. Metal +
I Don't Like Mondays;04:19;The Boomtown Rats;Back To Boomtown - Classic Rats Hits;New Wave;2013;Mr. Metal +
More Than a Feeling;04:46;Boston;Masterpieces of Rock 'n' Roll History;VA;2015;Mr. Metal +
Drown;03:42;Bring Me The Horizon;Post-Hardcore Crash Course;Post-Hardcore;2015;Mr. Metal
Cry Of The Banshee;04:19;Brocas Helm;Bruetal Legend;Soundtrack;2010;Mr. Metal +
Drink The Blood Of The Priest;05:53;Brocas Helm;Bruetal Legend;Soundtrack;2010;Mr. Metal +
Cigarettes & Whiskey;03:28;Broilers;Good Fellas Never Split - Split mit Volxsturm;Oi!;2006;Mr. Metal +
Heimat;03:43;Broilers;Good Fellas Never Split - Split mit Volxsturm;Oi!;2006;Mr. Metal
Regen Auf Der Koenigsallee;03:19;Broilers;Good Fellas Never Split - Split mit Volxsturm;Oi!;2006;Mr. Metal
You Can Get It If You Really Want;02:15;Broilers;Good Fellas Never Split - Split mit Volxsturm;Oi!;2006;Mr. Metal +
An die Verlorenen;02:42;Broilers;Ich Will Hier Nicht Sein;Oi!;2014;Mr. Metal +
Ende in Traenen;03:05;Broilers;Ich Will Hier Nicht Sein;Oi!;2014;Mr. Metal
Ich Will Hier Nicht Sein;03:31;Broilers;Ich Will Hier Nicht Sein;Oi!;2014;Mr. Metal
Geister Die Ich Rief;04:06;Broilers;La Vida Loca;Oi!;2002;Mr. Metal
Anti, Anti, Anti;03:13;Broilers;Lofi;Oi!;2004;Mr. Metal
Baccia Il Mio Anello;03:12;Broilers;Lofi;Oi!;2004;Mr. Metal
Eine Nation;03:34;Broilers;Lofi;Oi!;2004;Mr. Metal +
Das Da Oben (Nur In Dir);03:18;Broilers;Noir;Oi!;2014;Mr. Metal
Der Rest Und Ich;03:16;Broilers;Noir;Oi!;2014;Mr. Metal
Die Hoffnung Stirbt Nie;03:10;Broilers;Noir;Oi!;2014;Mr. Metal
Die Letzten (An Der Bar);03:51;Broilers;Noir;Oi!;2014;Mr. Metal
Grau, Grau, Grau;03:00;Broilers;Noir;Oi!;2014;Mr. Metal
Gutes Leben;03:23;Broilers;Noir;Oi!;2014;Mr. Metal
Ich Brenn';02:35;Broilers;Noir;Oi!;2014;Mr. Metal +
Ich Hol' Dich Da Raus;03:23;Broilers;Noir;Oi!;2014;Mr. Metal
Ich Will Hier Nicht Sein;03:31;Broilers;Noir;Oi!;2014;Mr. Metal
Irgendwo Dazwischen;02:59;Broilers;Noir;Oi!;2014;Mr. Metal +
Ist Da Jemand;04:14;Broilers;Noir;Oi!;2014;Mr. Metal +
Nanana (Ich Krieg' Das Hin);02:33;Broilers;Noir;Oi!;2014;Mr. Metal +
Nur Nach Vorne Gehen;05:04;Broilers;Noir;Oi!;2014;Mr. Metal
Wo Bist Du (Du Fehlst);02:21;Broilers;Noir;Oi!;2014;Mr. Metal
Wo Es Hingeht;02:35;Broilers;Noir;Oi!;2014;Mr. Metal
Zurueck In Schwarz;03:08;Broilers;Noir;Oi!;2014;Mr. Metal
Geboren Zu Gewinnen;02:23;Broilers;Ruby Light & Dark - Ep;Oi!;2008;Mr. Metal
Ruby Light & Dark;03:43;Broilers;Ruby Light & Dark - Ep;Oi!;2008;Mr. Metal +
Wenn Du Jetzt Denkst...;04:17;Broilers;Ruby Light & Dark - Ep;Oi!;2008;Mr. Metal +
Woke Up This Morning;04:02;Broilers;Ruby Light & Dark - Ep;Oi!;2008;Mr. Metal
Zusammen;04:22;Broilers;Ruby Light & Dark - Ep;Oi!;2008;Mr. Metal +
Preludio: Santa Muerte;00:29;Broilers;Santa Muerte;Oi!;2011;Mr. Metal
Singe, Seufze & Saufe;03:28;Broilers;Santa Muerte;Oi!;2011;Mr. Metal +
Tanzt Du Noch Einmal Mit Mir?;02:54;Broilers;Santa Muerte;Oi!;2011;Mr. Metal +
33 Rpm;03:09;Broilers;Santa Muerte;Oi!;2011;Mr. Metal +
Meine Sache;04:18;Broilers;Vanitas;Oi!;2007;Mr. Metal +
Preludio: Vanitas;01:42;Broilers;Vanitas;Oi!;2007;Mr. Metal
Ruby Light & Dark;03:41;Broilers;Vanitas;Oi!;2007;Mr. Metal
Vanitas;03:30;Broilers;Vanitas;Oi!;2007;Mr. Metal +
Zurueck Zum Beton;02:54;Broilers;Vanitas;Oi!;2007;Mr. Metal +
(Everything I Do) I Do It For You;06:34;Bryan Adams;Masterpieces of Rock 'n' Roll History;VA;2015;Mr. Metal +
Breadfan;06:06;Budgie;Bruetal Legend;Soundtrack;2010;Mr. Metal +
Zoom Club;09:55;Budgie;Bruetal Legend;Soundtrack;2010;Mr. Metal
Blind Justice;02:15;The Business;The Best of The Business: 28 Classic Oi! Anthems...;Oi!;1992;Mr. Metal +
Coventry;03:21;The Business;The Best of The Business: 28 Classic Oi! Anthems...;Oi!;1992;Mr. Metal
Disco Girls (Reality Kills);02:10;The Business;The Best of The Business: 28 Classic Oi! Anthems...;Oi!;1992;Mr. Metal +
H-Bomb;01:55;The Business;The Best of The Business: 28 Classic Oi! Anthems...;Oi!;1992;Mr. Metal +
Loud Proud And Punk;02:07;The Business;The Best of The Business: 28 Classic Oi! Anthems...;Oi!;1992;Mr. Metal +
Product;02:30;The Business;The Best of The Business: 28 Classic Oi! Anthems...;Oi!;1992;Mr. Metal +
Real Enemy;02:17;The Business;The Best of The Business: 28 Classic Oi! Anthems...;Oi!;1992;Mr. Metal +
Smash The Discos;01:50;The Business;The Best of The Business: 28 Classic Oi! Anthems...;Oi!;1992;Mr. Metal +
Ever Fallen in Love;02:40;The Buzzcocks;Scrubs 1;Soundtrack;2002;Mr. Metal +
Mr. Tambourine Man;02:33;The Byrds;Greatest Hits;Folk;1967;Mr. Metal +
Bevor Du Gehst;03:57;Callejon;Blitzkreuz;Metalcore;2012;Mr. Metal +
Kojote U.G.L.Y.;03:24;Callejon;Blitzkreuz;Metalcore;2012;Mr. Metal +
Meine Liebe;03:37;Callejon;Blitzkreuz;Metalcore;2012;Mr. Metal +
Porn From Spain 2;03:43;Callejon;Blitzkreuz;Metalcore;2012;Mr. Metal +
Guten Morgen Deutschland;02:26;Callejon;Kind Im Nebel - Single;Metalcore;2012;Mr. Metal +
Kind Im Nebel;04:30;Callejon;Kind Im Nebel - Single;Metalcore;2012;Mr. Metal +
Alles Neu;04:11;Callejon;Man Spricht Deutsch;Metalcore;2013;Mr. Metal +
Alles Nur Geklaut;03:22;Callejon;Man Spricht Deutsch;Metalcore;2013;Mr. Metal +
Boomerang;03:53;Callejon;Man Spricht Deutsch;Metalcore;2013;Mr. Metal +
Ein Kompliment;03:13;Callejon;Man Spricht Deutsch;Metalcore;2013;Mr. Metal +
Hier Kommt Alex;03:22;Callejon;Man Spricht Deutsch;Metalcore;2013;Mr. Metal +
Ich Find Dich Scheisse;02:51;Callejon;Man Spricht Deutsch;Metalcore;2013;Mr. Metal +
Major Tom;04:29;Callejon;Man Spricht Deutsch;Metalcore;2013;Mr. Metal +
Mein Block;03:54;Callejon;Man Spricht Deutsch;Metalcore;2013;Mr. Metal +
Witches;06:22;Candlemass;Bruetal Legend;Soundtrack;2010;Mr. Metal +
No Love Lost;03:23;Carcass;Bruetal Legend;Soundtrack;2010;Mr. Metal
